"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"94","University of South Carolina",462,225,140,73,2807,115,61,26,3269,340,201,99,59.1,62.22,53.04,6.15,4.1,"Public",26,508,3.79,100,26,NA,30.3030303030303,2.17313858211614,13.9443616492797,"SC"
"95","Texas Tech University",3288,775,307,164,584,78,44,16,3872,853,351,180,41.1,39.61,56.41,9.07,13.36,"Public",9,510,3.87,180,8.89,NA,9.33698296836983,7.53424657534247,1.23927228489272,"TX"
"96","UC Riverside",3652,277,125,77,141,4,3,1,3793,281,128,78,45.6,45.13,75,3.37,6.625,"Public",1,508,3.59,70,1.43,"No",3.42278203723987,2.12765957446809,1.60870755750274,"CA"
"97","Florida State University",2695,254,144,118,4453,18,5,2,7148,272,149,120,54.8,56.69,51.48,2.08,0.4,"Public",2,508,3.76,120,1.67,"No",5.34322820037106,0.112283853581855,47.5867903525046,"FL"
"98","University of Central Florida",2791,306,190,80,1887,155,116,40,4678,461,306,120,66.4,62.09,74.84,6.54,8.21,"Public",33,514,3.88,120,33.33,"Yes",6.80759584378359,6.14732379438262,1.10740804803618,"FL"
"99","Eastern Virginia",1071,347,161,81,5779,452,192,70,6850,799,353,151,44.2,46.4,42.48,5.15,7.82,"Public",46,513,3.71,151,46.36,"Yes",15.0326797385621,3.32237411316837,4.52468001089325,"VA"
"100","New York Medical College",1933,508,243,112,8863,481,220,100,10796,989,463,212,46.8,47.83,45.74,4.29,5.43,"Private",47,513,3.72,210,47.62,"Yes",12.5711329539576,2.48222949339953,5.06445233504209,"NY"
"101","University of Toledo",937,246,223,124,3551,136,119,52,4488,382,342,176,89.5,90.65,87.5,7.62,3.83,"Public",30,510,3.76,175,29.71,"Yes",23.7993596584845,3.3511686848775,7.10180891993937,"OH"
"102","East Carolina University",1036,434,143,86,0,0,0,0,1036,434,143,86,32.9,32.95,47.7492,13.8,8.034,"Public",0,509,3.71,86,0,"No",13.8030888030888,2.9887953861647,14.3462531438031,"NC"
"103","East Tennessee State",636,251,89,56,1797,67,24,16,2433,318,113,72,35.5,35.46,35.82,4.64,3.73,"Public",22,508,3.81,72,22.22,"No",13.9937106918239,1.3355592654424,10.4777908805031,"TN"
